construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
sentiment,probe,decoupling,lexical_reversal,8,12,0.6666666666666666,0.19621587047974268,0.10241656895275097,0.5,0.4135259787241618
sentiment,probe,decoupling,lexical_reversal,9,12,0.5833333333333334,0.14453556140263876,0.12064382060612884,0.6666666666666666,2.1172980864842734
sentiment,probe,decoupling,lexical_reversal,10,12,0.75,0.19086546202500662,0.10837943478041996,0.6666666666666666,3.111641844113668
sentiment,probe,decoupling,lexical_reversal,11,12,0.6666666666666666,0.20109652231136957,0.11065175657935238,0.5,0.9983491003513336
sentiment,probe,decoupling,negation,0,12,0.5,-0.00224232425292333,0.15004634232289166,0.5,-0.14264372984568277
sentiment,probe,decoupling,negation,1,12,0.5,-0.029086229701836903,0.14312120081360136,0.5,-0.2114882469177246
sentiment,probe,decoupling,negation,2,12,0.3333333333333333,-0.18217979123195013,0.09563081632507621,0.4166666666666667,-0.3157960002621015
sentiment,probe,decoupling,negation,3,12,0.08333333333333333,-0.22186391552289328,0.05544488952099559,0.25,-0.3787202090024948
sentiment,probe,decoupling,negation,4,12,0.5,-0.002702335516611735,0.14903897702087646,0.5,-0.18247836579879126
sentiment,probe,decoupling,negation,5,12,0.4166666666666667,-0.05943402647972107,0.11199546861766137,0.5,-0.027599652608235676
sentiment,probe,decoupling,negation,6,12,0.5,0.02089531471331914,0.14250830224775546,0.5,0.4221084912618001
sentiment,probe,decoupling,negation,7,12,0.5,0.05294925719499588,0.1359016812003279,0.5,1.1912072499593098
sentiment,probe,decoupling,negation,8,12,0.9166666666666666,0.34769247720638913,0.06691551830152696,0.9166666666666666,3.084579606850942
sentiment,probe,decoupling,negation,9,12,0.9166666666666666,0.37181513011455536,0.055172649018958776,1.0,7.335155208905538
sentiment,probe,decoupling,negation,10,12,1.0,0.3662708252668381,0.05075362869920796,1.0,11.010502060254415
sentiment,probe,decoupling,negation,11,12,0.9166666666666666,0.3524325539668401,0.05850248656615858,0.75,12.426254868507385
sentiment,probe,decoupling,quotation,0,12,0.5,-0.00034368038177490234,0.15051850013111137,0.5,-0.06453710794448853
sentiment,probe,decoupling,quotation,1,12,0.5,-0.002394686142603556,0.1489579418010781,0.5,-0.10045941670735677
sentiment,probe,decoupling,quotation,2,12,0.5,-0.016077890992164612,0.14140227888335932,0.5,-0.13834952314694723
