construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
sentiment,direction,random_direction,heldout,ordinary,2,36,0.4444444444444444,-0.05809499955661798,0.07917958145575417
sentiment,direction,random_direction,heldout,ordinary,3,36,0.4722222222222222,-0.05630119510004864,0.14898280297027208
sentiment,direction,random_direction,heldout,ordinary,4,36,0.5555555555555556,0.033952025511801764,0.19382800336676143
sentiment,direction,random_direction,heldout,ordinary,5,36,0.4444444444444444,0.04805112519536953,0.1981837678337437
sentiment,direction,random_direction,heldout,ordinary,6,36,0.5833333333333334,0.43601986741272425,0.36087049118225195
sentiment,direction,random_direction,heldout,ordinary,7,36,0.5555555555555556,0.08420829333326411,0.4058177357107884
sentiment,direction,random_direction,heldout,ordinary,8,36,0.6388888888888888,0.3432332156362558,0.16862979771988165
sentiment,direction,random_direction,heldout,ordinary,9,36,0.7222222222222222,0.9702222235687513,0.47375065128339616
sentiment,direction,random_direction,heldout,ordinary,10,36,0.5833333333333334,0.589125892972072,0.39722976932175363
sentiment,direction,random_direction,heldout,ordinary,11,36,0.4166666666666667,-0.01738117074551247,0.5231550696288939
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,36,0.5,0.029891416016552184,0.39092864132145283
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,36,0.5,0.09290268934435314,0.5075680718102826
sentiment,direction,shuffled_label_direction,heldout,ordinary,2,36,0.4722222222222222,0.09431300808986028,0.5966373874293353
sentiment,direction,shuffled_label_direction,heldout,ordinary,3,36,0.4722222222222222,-0.026269006232420605,0.542509426619544
sentiment,direction,shuffled_label_direction,heldout,ordinary,4,36,0.4166666666666667,0.004344015485710568,0.5770074337291393
sentiment,direction,shuffled_label_direction,heldout,ordinary,5,36,0.4444444444444444,-0.013653945902155505,0.748725375459436
sentiment,direction,shuffled_label_direction,heldout,ordinary,6,36,0.4722222222222222,0.20452871960070398,0.9129358239627905
sentiment,direction,shuffled_label_direction,heldout,ordinary,7,36,0.5833333333333334,0.5456696103016535,1.0252385379941222
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,36,0.5555555555555556,0.9806584964195887,1.2863760150832928
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,36,0.5555555555555556,2.0553186353709965,1.483581729222654
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,36,0.5277777777777778,1.9528570406966739,1.8302174914925222
sentiment,direction,shuffled_label_direction,heldout,ordinary,11,36,0.5555555555555556,1.569946762588289,2.163386052012068
sentiment,direction,direction,decoupling,lexical_reversal,0,12,0.5,-0.02242642641067505,0.8501901361798369
sentiment,direction,direction,decoupling,lexical_reversal,1,12,0.5,-0.13909082611401877,0.8708072305793645
sentiment,direction,direction,decoupling,lexical_reversal,2,12,0.5,-0.25176985313495,0.41125102132200114
sentiment,direction,direction,decoupling,lexical_reversal,3,12,0.5,-0.20897231002648672,0.3585622686249134
sentiment,direction,direction,decoupling,lexical_reversal,4,12,0.5,-0.2247981851299604,0.5664957694058705
sentiment,direction,direction,decoupling,lexical_reversal,5,12,0.5833333333333334,-0.0044603049755096436,0.7469539445564506
sentiment,direction,direction,decoupling,lexical_reversal,6,12,0.3333333333333333,-0.3878515263398488,0.9014844369865692
sentiment,direction,direction,decoupling,lexical_reversal,7,12,0.4166666666666667,-0.1537051498889923,1.0999560259444956
sentiment,direction,direction,decoupling,lexical_reversal,8,12,0.5,0.4135259787241618,1.1631362105880387
sentiment,direction,direction,decoupling,lexical_reversal,9,12,0.6666666666666666,2.1172980864842734,1.7599903625906652
sentiment,direction,direction,decoupling,lexical_reversal,10,12,0.6666666666666666,3.111641844113668,2.0186103921502463
sentiment,direction,direction,decoupling,lexical_reversal,11,12,0.5,0.9983491003513336,4.763205734080175
