construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
certainty,direction,shuffled_label_direction,decoupling,negation,10,12,0.5,-0.8187652031580607,6.84354499409289
certainty,direction,shuffled_label_direction,decoupling,negation,11,12,0.5833333333333334,-3.3989047408103943,7.514093953529369
certainty,direction,direction,decoupling,quotation,0,12,0.5,-0.14015825589497885,0.8406255823635675
certainty,direction,direction,decoupling,quotation,1,12,0.5,-0.13407432536284128,0.37220006895765506
certainty,direction,direction,decoupling,quotation,2,12,0.5,-0.09396615127722423,0.5971619107762374
certainty,direction,direction,decoupling,quotation,3,12,0.5,-0.091890553633372,0.82687851562344
certainty,direction,direction,decoupling,quotation,4,12,0.5,-0.10040391857425372,0.9702902986022351
certainty,direction,direction,decoupling,quotation,5,12,0.5,-0.17271910111109415,0.5784002596348607
certainty,direction,direction,decoupling,quotation,6,12,0.5,-0.36652810374895733,0.8766189626231004
certainty,direction,direction,decoupling,quotation,7,12,0.5,0.5069499611854553,1.4616186227595975
certainty,direction,direction,decoupling,quotation,8,12,0.5833333333333334,1.4783057322104771,1.6482206499779057
certainty,direction,direction,decoupling,quotation,9,12,0.6666666666666666,2.5875923931598663,1.8783999762938148
certainty,direction,direction,decoupling,quotation,10,12,0.5833333333333334,3.905421733856201,2.9683286138000513
certainty,direction,direction,decoupling,quotation,11,12,0.5,3.6284019400676093,5.771027087960968
certainty,direction,random_direction,decoupling,quotation,0,12,0.5,-0.004771863494367451,0.20031692048429212
certainty,direction,random_direction,decoupling,quotation,1,12,0.5,-0.015425394774110533,0.05010807275968982
certainty,direction,random_direction,decoupling,quotation,2,12,0.5,-0.013287038665422505,0.2764935785474869
certainty,direction,random_direction,decoupling,quotation,3,12,0.5,-0.02500435730236385,0.42019577006328834
certainty,direction,random_direction,decoupling,quotation,4,12,0.4166666666666667,0.009902010161513883,0.18111779788644594
certainty,direction,random_direction,decoupling,quotation,5,12,0.5,0.04795260439956158,0.383478213769755
