construct,method,baseline_type,split,decoupling_axis,layer,alpha,n,mean_raw_logit_shift,mean_abs_raw_logit_shift,mean_signed_logit_shift,mean_steered_signed_logit_diff,mean_kl_divergence
sentiment,direction,random_direction,heldout,ordinary,7,-3.0,24,-0.0012371142705281575,0.022087295850118,0.0007040898005167643,0.6123250325520834,0.0005638117496952569
sentiment,direction,random_direction,heldout,ordinary,7,-1.0,24,-0.00026921431223551434,0.007271091143290202,0.00023925304412841797,0.611860195795695,6.260173965226083e-05
sentiment,direction,random_direction,heldout,ordinary,7,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,7,1.0,24,0.00012318293253580728,0.007172862688700358,-0.00024247169494628906,0.6113784710566202,6.253504610261491e-05
sentiment,direction,random_direction,heldout,ordinary,7,3.0,24,-7.82012939453125e-05,0.021204074223836262,-0.0007236003875732422,0.6108973423639933,0.0005622259110775
sentiment,direction,random_direction,heldout,ordinary,8,-3.0,24,-0.027915438016255695,0.030116478602091473,-0.0040476322174072266,0.6075733105341593,0.0004509396821958944
sentiment,direction,random_direction,heldout,ordinary,8,-1.0,24,-0.009336511294047037,0.010050574938456217,-0.0013135671615600586,0.6103073755900065,5.0364384151180275e-05
sentiment,direction,random_direction,heldout,ordinary,8,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,8,1.0,24,0.009368062019348145,0.01006146272023519,0.0012756586074829102,0.6128966013590494,5.065106536979632e-05
sentiment,direction,random_direction,heldout,ordinary,8,3.0,24,0.028193374474843342,0.030207852522532146,0.0037135879198710122,0.6153345306714376,0.0004572440714885791
sentiment,direction,random_direction,heldout,ordinary,9,-3.0,24,0.008896251519521078,0.012787282466888428,-0.00023649136225382486,0.6113844513893127,0.0002956812253008441
sentiment,direction,random_direction,heldout,ordinary,9,-1.0,24,0.0029678543408711753,0.004252771536509196,-6.308158238728841e-05,0.6115578611691793,3.275067895932201e-05
sentiment,direction,random_direction,heldout,ordinary,9,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,9,1.0,24,-0.002968748410542806,0.004241943359375,4.585584004720052e-05,0.6116667985916138,3.270755253955334e-05
sentiment,direction,random_direction,heldout,ordinary,9,3.0,24,-0.008908748626708984,0.01269205411275228,8.881092071533203e-05,0.6117097536722819,0.00029369247082892497
sentiment,direction,random_direction,heldout,ordinary,10,-3.0,24,-0.0009994109471638997,0.009580572446187338,-0.0012239615122477214,0.6103969812393188,0.00023561669756115103
sentiment,direction,random_direction,heldout,ordinary,10,-1.0,24,-0.0003380775451660156,0.003159681955973307,-0.0003859599431355794,0.611234982808431,2.602795454246613e-05
sentiment,direction,random_direction,heldout,ordinary,10,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,10,1.0,24,0.00034300486246744793,0.0031255483627319336,0.00036275386810302734,0.6119836966196696,2.6002913121677313e-05
sentiment,direction,random_direction,heldout,ordinary,10,3.0,24,0.0010436375935872395,0.00928326447804769,0.001023093859354655,0.6126440366109213,0.000232165286433883
sentiment,direction,random_direction,heldout,ordinary,11,-3.0,24,-0.030002832412719727,0.030002832412719727,0.00037268797556559247,0.6119936307271322,0.0002018566386444339
sentiment,direction,random_direction,heldout,ordinary,11,-1.0,24,-0.009998142719268799,0.009998142719268799,0.00012705723444620767,0.6117479999860128,2.2428644721609697e-05
sentiment,direction,random_direction,heldout,ordinary,11,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,11,1.0,24,0.009994645913441976,0.009994645913441976,-0.0001306732495625814,0.611490269502004,2.2460278690535535e-05
sentiment,direction,random_direction,heldout,ordinary,11,3.0,24,0.029972732067108154,0.029972732067108154,-0.0004002849260965983,0.61122065782547,0.00020204058516052706
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,-3.0,24,4.466374715169271e-05,0.01572295029958089,-0.003408233324686686,0.6082127094268799,0.00029143690577863407
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,-1.0,24,1.339117685953776e-05,0.00526730219523112,-0.00125428040822347,0.6103666623433431,3.2228900636255275e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,1.0,24,-2.4239222208658855e-05,0.005350470542907715,0.0013430118560791016,0.6129639546076456,3.248356733820401e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,0,3.0,24,-0.00014428297678629556,0.016370256741841633,0.0041906436284383135,0.6158115863800049,0.0002987856223626295
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,-3.0,24,-0.011939764022827148,0.024104754130045574,-0.00715037186940511,0.6044705708821615,0.0004967909990227781
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,-1.0,24,-0.0039057135581970215,0.008181313673655191,-0.0023334225018819175,0.6092875202496847,5.635898560285568e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,1.0,24,0.003819068272908529,0.008318940798441568,0.002273718516031901,0.6138946612675985,5.7980594647233374e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,1,3.0,24,0.011151472727457682,0.025531808535257976,0.006632248560587565,0.6182531913121542,0.000540724520154375
sentiment,direction,shuffled_label_direction,heldout,ordinary,2,-3.0,24,0.018425941467285156,0.03558965524037679,0.0034243265787760415,0.6150452693303426,0.000938133265056725
