construct,method,pair_id,decoupling_axis,layer,position,clean_diff,corrupt_diff,patched_diff,recovery
certainty,patching,certainty_decoupling_contrast_002,contrast,8,10,7.000994682312012,5.1038408279418945,5.283089637756348,0.09448301169752327
certainty,patching,certainty_decoupling_contrast_002,contrast,8,11,7.000994682312012,5.1038408279418945,5.910599708557129,0.4252469449206006
certainty,patching,certainty_decoupling_contrast_002,contrast,9,0,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,9,1,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,9,2,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,9,3,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,9,4,7.000994682312012,5.1038408279418945,4.7404680252075195,-0.19153575862987668
certainty,patching,certainty_decoupling_contrast_002,contrast,9,5,7.000994682312012,5.1038408279418945,5.005749702453613,-0.051704359803147824
certainty,patching,certainty_decoupling_contrast_002,contrast,9,6,7.000994682312012,5.1038408279418945,5.167025566101074,0.03330501530681493
certainty,patching,certainty_decoupling_contrast_002,contrast,9,7,7.000994682312012,5.1038408279418945,5.124285697937012,0.01077660093198144
certainty,patching,certainty_decoupling_contrast_002,contrast,9,8,7.000994682312012,5.1038408279418945,5.120144844055176,0.008593934580331874
certainty,patching,certainty_decoupling_contrast_002,contrast,9,9,7.000994682312012,5.1038408279418945,5.429224014282227,0.17151122751104655
certainty,patching,certainty_decoupling_contrast_002,contrast,9,10,7.000994682312012,5.1038408279418945,5.200993537902832,0.051209715931654694
certainty,patching,certainty_decoupling_contrast_002,contrast,9,11,7.000994682312012,5.1038408279418945,6.848161697387695,0.9194409116728917
certainty,patching,certainty_decoupling_contrast_002,contrast,10,0,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,10,1,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,10,2,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,10,3,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,10,4,7.000994682312012,5.1038408279418945,4.982935905456543,-0.06372963489853266
certainty,patching,certainty_decoupling_contrast_002,contrast,10,5,7.000994682312012,5.1038408279418945,5.062999725341797,-0.02152756483403793
certainty,patching,certainty_decoupling_contrast_002,contrast,10,6,7.000994682312012,5.1038408279418945,5.078483581542969,-0.013365940954401275
certainty,patching,certainty_decoupling_contrast_002,contrast,10,7,7.000994682312012,5.1038408279418945,5.098360061645508,-0.002888941391738844
certainty,patching,certainty_decoupling_contrast_002,contrast,10,8,7.000994682312012,5.1038408279418945,5.102354049682617,-0.0007836888167253972
certainty,patching,certainty_decoupling_contrast_002,contrast,10,9,7.000994682312012,5.1038408279418945,5.124024391174316,0.0106388647319925
certainty,patching,certainty_decoupling_contrast_002,contrast,10,10,7.000994682312012,5.1038408279418945,5.104798316955566,0.0005046976087186009
certainty,patching,certainty_decoupling_contrast_002,contrast,10,11,7.000994682312012,5.1038408279418945,7.162217140197754,1.0849812246457313
certainty,patching,certainty_decoupling_contrast_002,contrast,11,0,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,1,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,2,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,3,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,4,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,5,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,6,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,7,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,8,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,9,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,10,7.000994682312012,5.1038408279418945,5.1038408279418945,0.0
certainty,patching,certainty_decoupling_contrast_002,contrast,11,11,7.000994682312012,5.1038408279418945,7.000994682312012,1.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,6,-2.5568504333496094,-4.703762531280518,-2.5896658897399902,0.9847150442619393
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,7,-2.5568504333496094,-4.703762531280518,-4.691079616546631,0.005907514679389952
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,8,-2.5568504333496094,-4.703762531280518,-4.687232494354248,0.007699447472581851
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,9,-2.5568504333496094,-4.703762531280518,-4.645384311676025,0.027191713932188624
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,10,-2.5568504333496094,-4.703762531280518,-4.709618091583252,-0.0027274336515117157
certainty,patching,certainty_decoupling_format_shift_001,format_shift,0,11,-2.5568504333496094,-4.703762531280518,-4.687099933624268,0.0077611923060606994
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,6,-2.5568504333496094,-4.703762531280518,-2.65529203414917,0.9541473538229935
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,7,-2.5568504333496094,-4.703762531280518,-4.69085168838501,0.006013680256378763
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,8,-2.5568504333496094,-4.703762531280518,-4.676914691925049,0.012505327712924726
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,9,-2.5568504333496094,-4.703762531280518,-4.6472015380859375,0.026345276664606284
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,10,-2.5568504333496094,-4.703762531280518,-4.691628932952881,0.005651651196772567
certainty,patching,certainty_decoupling_format_shift_001,format_shift,1,11,-2.5568504333496094,-4.703762531280518,-4.671197414398193,0.015168351286346997
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,6,-2.5568504333496094,-4.703762531280518,-2.6758551597595215,0.9445693531073753
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,7,-2.5568504333496094,-4.703762531280518,-4.68223237991333,0.0100284270548092
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,8,-2.5568504333496094,-4.703762531280518,-4.673686504364014,0.014008969880736967
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,9,-2.5568504333496094,-4.703762531280518,-4.61071252822876,0.0433413194426707
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,10,-2.5568504333496094,-4.703762531280518,-4.642552852630615,0.02851056580699942
certainty,patching,certainty_decoupling_format_shift_001,format_shift,2,11,-2.5568504333496094,-4.703762531280518,-4.648312091827393,0.025827997106432767
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,6,-2.5568504333496094,-4.703762531280518,-2.688546657562256,0.9386578405610695
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,7,-2.5568504333496094,-4.703762531280518,-4.715444087982178,-0.005441096872535343
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,8,-2.5568504333496094,-4.703762531280518,-4.67543363571167,0.013195181859634449
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,9,-2.5568504333496094,-4.703762531280518,-4.600168228149414,0.04825269894884974
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,10,-2.5568504333496094,-4.703762531280518,-4.6433186531066895,0.028153867236614418
certainty,patching,certainty_decoupling_format_shift_001,format_shift,3,11,-2.5568504333496094,-4.703762531280518,-4.648042678833008,0.02595348570684841
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,6,-2.5568504333496094,-4.703762531280518,-2.6061320304870605,0.9770453586875092
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,7,-2.5568504333496094,-4.703762531280518,-4.819603443145752,-0.05395698872668161
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,8,-2.5568504333496094,-4.703762531280518,-4.6702728271484375,0.015599010394676085
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,9,-2.5568504333496094,-4.703762531280518,-4.547225475311279,0.07291265260468803
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,10,-2.5568504333496094,-4.703762531280518,-4.684713363647461,0.008872821412397518
certainty,patching,certainty_decoupling_format_shift_001,format_shift,4,11,-2.5568504333496094,-4.703762531280518,-4.676590442657471,0.0126563582408586
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,1,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,2,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,3,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,4,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,5,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,6,-2.5568504333496094,-4.703762531280518,-2.717289447784424,0.9252698726746018
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,7,-2.5568504333496094,-4.703762531280518,-4.861676216125488,-0.07355386603725435
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,8,-2.5568504333496094,-4.703762531280518,-4.676364421844482,0.012761635402977211
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,9,-2.5568504333496094,-4.703762531280518,-4.573237895965576,0.06079645060491058
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,10,-2.5568504333496094,-4.703762531280518,-4.715083599090576,-0.005273186462067684
certainty,patching,certainty_decoupling_format_shift_001,format_shift,5,11,-2.5568504333496094,-4.703762531280518,-4.706130504608154,-0.0011029670613523761
certainty,patching,certainty_decoupling_format_shift_001,format_shift,6,0,-2.5568504333496094,-4.703762531280518,-4.703762531280518,0.0
